"Record ID","Name","Contract Writing Date","Market","Developer","Micro Market","Storeys","Total Units","Product Type","Construction Material","Project pipeline stage"
"42470965763","1368-1398 W Broadway, Vancouver","2027-10-01","Vancouver West","Concord Pacific","Fairview","35.0","172.0","Highrise (15+)","Concrete","In Planning"
"37140938827","1026 Brunette Ave, Coquitlam (Mackin Parkside)","2027-10-01","Coquitlam","Century Group","Maillardville","31.0","1412.0","Highrise (15+)","Concrete","In Planning"
"22325823806","The Marquis","2027-10-01","Surrey","Weststone + Hayer Builders Group","Surrey City Centre","37.0","567.0","Highrise (15+)","Concrete","In Planning"
"16087441465","439 & 465 North Rd, Coquitlam","2027-10-01","Coquitlam","Wesgroup","South Coquitlam","36.0","1800.0","Highrise (15+)","Concrete","Approved/Upcoming"
"13520809079","5777 Willingdon Ave & 4475 Grange St, Burnaby","2027-10-01","Burnaby South","Intergulf","Metrotown","","","Highrise (15+)","Concrete","In Planning"
"12268053626","10348 King George Blvd, Surrey","2027-10-01","Surrey","Oviedo Development","Surrey City Centre","65.0","1540.0","Highrise (15+)","Concrete","In Planning"
"9892662689","4141 Lougheed Hwy, Burnaby","2027-10-01","Burnaby North","Millennium Development","Brentwood","62.0","488.0","Highrise (15+)","Concrete","In Planning"
"8994366867","Langara Gardens","2027-10-01","Vancouver West","Peterson & Concert","Cambie Corridor","","1430.0","Highrise (15+)","Concrete","In Planning"
"3950974588","Innovation Village","2027-10-01","Surrey","Weststone Group","Surrey City Centre","37.0","586.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3950850577","Neon","2027-10-01","Surrey","Weststone Group","Surrey City Centre","","1200.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3950850576","Orion","2027-10-01","Surrey","Bucci Developments","Fleetwood","42.0","1037.0","Highrise (15+)","Concrete","Approved/Upcoming"
"33686866208","1745 West 8th Ave, Vancouver","2027-11-01","Vancouver West","Amacon","Fairview","31.0","441.0","Highrise (15+)","Concrete","In Planning"
"33685617768","375 East 1st Ave, Vancouver (Condo)","2027-11-01","Vancouver East","Onni Group","Mt Pleasant","40.0","639.0","Highrise (15+)","Concrete","In Planning"
"19620515441","The New Village (Future Phases)","2027-11-01","Vancouver West","MST & Aquilini Group","Cambie Corridor","25.0","654.0","Highrise (15+)","CON+WF (Mixed Use)","Approved/Upcoming"
"28546944608","7109 18th Ave and 7358 & 7376 18th Street, Burnaby","2028-03-01","Burnaby South","Square Nine Developments","Edmonds","30.0","148.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3951109285","Westport Village (Phase 1)","2028-03-01","Port Moody","Urbanics Consultants","St. Johns","31.0","263.0","Highrise (15+)","Concrete","Approved/Upcoming"
"13759166768","552 Clarke Rd, Coquitlam (""Burquitlam Plaza"")","2028-04-01","Coquitlam","Morguard","West Coquitlam","29.0","1100.0","Highrise (15+)","Concrete","In Planning"
"4694296406","9850 Austin Rd & 9858/9898 Gatineau Pl, Burnaby","2028-04-01","Burnaby (Other)","Pinnacle International","North Rd Corridor","80.0","1466.0","Highrise (15+)","Concrete","Approved/Upcoming"
"6532540430","4444-4488 Kingsway, Burnaby","2028-05-01","Burnaby South","Keltic Canada","Metrotown","","500.0","Highrise (15+)","Concrete","In Planning"
"4503482292","Civic District","2028-05-01","Surrey","Wesgroup","Surrey City Centre","65.0","1702.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3949891382","Vivere","2028-05-06","Surrey","Solterra Developments","Guildford","20.0","175.0","Highrise (15+)","Concrete","Approved/Upcoming"
"43325566374","13532-13576 King George Blvd & 13483 108th Ave, Surrey","2028-06-01","Surrey","Candou Management","Surrey City Centre","52.0","879.0","Highrise (15+)","Concrete","In Planning"
"28720623748","10310 152 St, Surrey (Guildford Plaza)","2028-06-01","Surrey","Cenyard Properties","Guildford","30.0","1000.0","Highrise (15+)","Concrete","In Planning"
"23955270559","South Yards (Tower D)","2028-06-01","Burnaby North","Integra Architecture","Brentwood","45.0","450.0","Highrise (15+)","Concrete","Approved/Upcoming"
"3950937746","4330 Maywood St, Burnaby","2028-06-01","Burnaby South","Kirpal Group","Metrotown","24.0","91.0","Highrise (15+)","Concrete","In Planning"
"13641485729","648-680 E Broadway & 2505 Fraser St, Vancouver","2028-09-01","Vancouver East","Wall Financial","Main/Fraser Corridor","18.0","113.0","Highrise (15+)","Concrete","In Planning"
"8158531434","4001-4009 Knight St and 1348 E 24th Ave, Vancouver","2028-09-01","Vancouver East","Conwest","Kingsway Corridor","24.0","233.0","Highrise (15+)","Concrete","In Planning"
"47132196266","2209 and 2225 Springer Avenue, Burnaby","2028-10-01","Burnaby North","Millennium Developments","Brentwood","49.0","387.0","Highrise (15+)","Concrete","In Planning"
"46326014770","1743 Burrard St, Vancouver","2028-10-01","Vancouver West","Suncor Energy","Kitsilano","17.0","107.0","Highrise (15+)","Concrete","In Planning"
"20421645599","2755 Lougheed Highway, Port Coquitlam","2028-11-01","Port Coquitlam","Wesbild","Central Poco","45.0","2000.0","Highrise (15+)","Concrete","In Planning"
"34297921571","1550 Burrard Street, Vancouver (""Quantum Park"")","2029-10-01","Vancouver West","Concord Pacific","Kitsilano","25.0","3000.0","Highrise (15+)","Concrete","In Planning"
"3951183969","10227 King George Blvd, Surrey","2031-06-01","Surrey","Cenyard Properties","Surrey City Centre","67.0","785.0","Highrise (15+)","Concrete","Approved/Upcoming"
